~~ Start logging ~~
2025-01-16 23:30:16.715 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:30:16.715 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.12.0\n0-computer.sendme.locale.en-US.yaml
2025-01-16 23:30:16.715 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.12.0\n0-computer.sendme.yaml
2025-01-16 23:30:16.821 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:30:16.821 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:30:16.821 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.12.0\n0-computer.sendme.yaml
2025-01-16 23:30:16.821 INFO   Create a new locale manifest file: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.12.0\n0-computer.sendme.locale.zh-CN.yaml
2025-01-16 23:30:16.821 INFO     New locale manifest file created: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.12.0\n0-computer.sendme.locale.zh-CN.yaml
2025-01-16 23:30:16.821 INFO   Staging and Committing Changes to Git
2025-01-16 23:30:22.201 INFO     Commit message: Modify: Zype.Compass version 0.12.0 (Auto)
2025-01-16 23:30:22.202 INFO   Pushing changes to remote (origin) repository
2025-01-16 23:30:34.449 INFO     Successfully pushed to remote (origin): Modify-n0-computer.sendme-0.12.0
2025-01-16 23:30:36.527 INFO     Pull request created successfully: https://github.com/microsoft/winget-pkgs/pull/212800
2025-01-16 23:30:36.529 INFO Processing version folder: 0.13.0
2025-01-16 23:30:36.530 INFO   Create and checkout to a new branch: Modify-n0-computer.sendme-0.13.0
2025-01-16 23:30:42.112 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.13.0\n0-computer.sendme.installer.yaml
2025-01-16 23:30:42.134 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
