~~ Start logging ~~
2025-03-01 12:46:32.759 FUN There are nothing.
2025-03-01 12:46:55.325 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.0.0.4048\ByteDance.JianyingPro.installer.yaml
2025-03-01 12:46:55.326 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.0.0.4048\ByteDance.JianyingPro.locale.en-US.yaml
2025-03-01 12:46:55.329 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:46:55.329 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:46:55.329 INFO     Replace defaultLocale -> locale
2025-03-01 12:46:55.329 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.0.0.4048\ByteDance.JianyingPro.locale.en-US.yaml
2025-03-01 12:46:55.329 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.0.0.4048\ByteDance.JianyingPro.locale.zh-CN.yaml
2025-03-01 12:46:55.336 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:46:55.337 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:46:55.339 INFO     Replace ManifestType: locale -> defaultLocale
2025-03-01 12:46:55.340 INFO     Replace winget-manifest.locale -> winget-manifest.defaultLocale
2025-03-01 12:46:55.342 INFO     Replace # Moniker: -> Moniker: 剪映
2025-03-01 12:46:55.343 INFO     Replace Shenzhen Lianmeng Technology Co., Ltd. -> 深圳市脸萌科技有限公司
2025-03-01 12:46:55.344 INFO     Replace Shenzhen Lianmeng Technology -> 深圳市脸萌科技有限公司
2025-03-01 12:46:55.345 WHY     The company name comes from the bottom of the PackageUrl and its filing information (screenshot: https://github.com/user-attachments/assets/37a0f060-eee9-45df-a555-6b4783aed53d).
2025-03-01 12:46:55.347 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.0.0.4048\ByteDance.JianyingPro.locale.zh-CN.yaml
2025-03-01 12:46:55.348 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.0.0.4048\ByteDance.JianyingPro.yaml
2025-03-01 12:46:55.350 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:46:55.352 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:46:55.353 INFO     Replace DefaultLocale: en-US -> zh-CN
2025-03-01 12:46:55.355 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.0.0.4048\ByteDance.JianyingPro.yaml
2025-03-01 12:46:55.356 INFO   Create a new locale manifest file: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.0.0.4048\ByteDance.JianyingPro.locale.zh-TW.yaml
2025-03-01 12:46:55.358 INFO     New locale manifest file created: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.0.0.4048\ByteDance.JianyingPro.locale.zh-TW.yaml
2025-03-01 12:46:55.652 INFO     清单验证成功。
2025-03-01 12:46:55.667 INFO   Staging and Committing Changes to Git
2025-03-01 12:46:59.503 INFO     Commit message: Modify: ByteDance.JianyingPro version 2.0.0.4048 (Auto)
2025-03-01 12:46:59.504 INFO   Pushing changes to remote (origin) repository
2025-03-01 12:47:04.647 INFO     Successfully FORCE pushed to remote (origin): Modify-ByteDance.JianyingPro-2.0.0.4048
2025-03-01 12:47:04.647 INFO Processing version folder: 2.1.0.4424
2025-03-01 12:47:04.647 INFO   Create and checkout to a new branch: Modify-ByteDance.JianyingPro-2.1.0.4424
2025-03-01 12:47:13.388 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.1.0.4424\ByteDance.JianyingPro.installer.yaml
2025-03-01 12:47:13.389 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:47:13.389 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:47:13.389 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.1.0.4424\ByteDance.JianyingPro.installer.yaml
2025-03-01 12:47:13.389 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.1.0.4424\ByteDance.JianyingPro.locale.en-US.yaml
2025-03-01 12:47:13.389 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:47:13.389 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:47:13.389 INFO     Replace defaultLocale -> locale
2025-03-01 12:47:13.389 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.1.0.4424\ByteDance.JianyingPro.locale.en-US.yaml
2025-03-01 12:47:13.389 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.1.0.4424\ByteDance.JianyingPro.locale.zh-CN.yaml
2025-03-01 12:47:13.389 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:47:13.389 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:47:13.389 INFO     Replace ManifestType: locale -> defaultLocale
2025-03-01 12:47:13.389 INFO     Replace winget-manifest.locale -> winget-manifest.defaultLocale
2025-03-01 12:47:13.389 INFO     Replace # Moniker: -> Moniker: 剪映
2025-03-01 12:47:13.401 INFO     Replace Shenzhen Lianmeng Technology Co., Ltd. -> 深圳市脸萌科技有限公司
2025-03-01 12:47:13.401 INFO     Replace Shenzhen Lianmeng Technology -> 深圳市脸萌科技有限公司
2025-03-01 12:47:13.402 WHY     The company name comes from the bottom of the PackageUrl and its filing information (screenshot: https://github.com/user-attachments/assets/37a0f060-eee9-45df-a555-6b4783aed53d).
2025-03-01 12:47:13.403 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.1.0.4424\ByteDance.JianyingPro.locale.zh-CN.yaml
2025-03-01 12:47:13.404 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.1.0.4424\ByteDance.JianyingPro.yaml
2025-03-01 12:47:13.406 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:47:13.406 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:47:13.408 INFO     Replace DefaultLocale: en-US -> zh-CN
2025-03-01 12:47:13.408 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.1.0.4424\ByteDance.JianyingPro.yaml
